id,section,code,name,main,sub,type,category.personal_stakes,category.threat_appraisal,category.coping_appraisal,category.control,category.adaptation,question.main,question.sub
172,C,C23,commentsC,commentsC,,qualitative,,,,,,"If you would like to, please detail the answers to the previous questions (your views on and experiences of climate change)",""
173,E,E01,ACCLeadership_SQ001,ACCLeadership,SQ001,categorical,0,0,1,0,0,Who do you think should lead the way in implementing climate change adaptations?,Private forest owners
174,E,E02,ACCLeadership_SQ002,ACCLeadership,SQ002,categorical,0,0,1,0,0,Who do you think should lead the way in implementing climate change adaptations?,Environmental organizations/NGOs
175,E,E03,ACCLeadership_SQ003,ACCLeadership,SQ003,categorical,0,0,1,0,0,Who do you think should lead the way in implementing climate change adaptations?,"Forest professionals (eg, forest engineer, logging contractor services, etc)"
176,E,E04,ACCLeadership_SQ004,ACCLeadership,SQ004,categorical,0,0,1,0,0,Who do you think should lead the way in implementing climate change adaptations?,Officials of the provincial ministry in charge of forests
177,E,E05,ACCLeadership_SQ005,ACCLeadership,SQ005,categorical,0,0,1,0,0,Who do you think should lead the way in implementing climate change adaptations?,Forest certification organizations
178,E,E06,ACCLeadership_other,ACCLeadership,other,qualitative,,,,,,Who do you think should lead the way in implementing climate change adaptations?,Other
179,E,E07,ACCSocial_A1,ACCSocial,A1,categorical,1,0,1,0,0,How much do you agree with the following statements?,"To reduce the risk that my woodlots may suffer from climate change, I would accept restrictions or requirements on harvesting timber on my woodlots"
180,E,E08,ACCSocial_A2,ACCSocial,A2,categorical,1,0,1,0,0,How much do you agree with the following statements?,"To reduce the risk that my woodlots may suffer from climate change, I would be willing to come together with other forest owners in order to manage our woodlots together"
181,E,E09,ACCSocial_A3,ACCSocial,A3,categorical,1,0,1,0,0,How much do you agree with the following statements?,Regulations are important to adapt private forests to climate change
182,E,E10,ACCSocial_A6,ACCSocial,A6,categorical,1,0,1,0,0,How much do you agree with the following statements?,Voluntary programs are important to adapt private forests to climate change
183,E,E11,ACCSocial_A4,ACCSocial,A4,categorical,1,0,0,0,0,How much do you agree with the following statements?,I feel that people close to me expect me to change my management practices to adapt to climate change
184,E,E12,ACCSocial_A5,ACCSocial,A5,categorical,1,0,0,0,0,How much do you agree with the following statements?,"Seeing other forest owners change their forestry practices to adapt to climate change motivates me to do so, too"
185,E,E13,commentsE,commentsE,,qualitative,,,,,,"If you would like to, please detail the answers to the previous questions (who should lead the way, what you would accept to reduce risks, …)",""
186,F,F01,surveySource_SQ002,surveySource,SQ002,categorical,0,0,0,1,0,How did you find out about this questionnaire?,Facebook
187,F,F02,surveySource_SQ002comment,surveySource,SQ002comment,qualitative,,,,,,How did you find out about this questionnaire?,FacebookComment
188,F,F03,surveySource_SQ003,surveySource,SQ003,categorical,0,0,0,1,0,How did you find out about this questionnaire?,Twitter
189,F,F04,surveySource_SQ003comment,surveySource,SQ003comment,qualitative,,,,,,How did you find out about this questionnaire?,TwitterComment
190,F,F05,surveySource_SQ004,surveySource,SQ004,categorical,0,0,0,1,0,How did you find out about this questionnaire?,Newsletter
191,F,F06,surveySource_SQ004comment,surveySource,SQ004comment,qualitative,,,,,,How did you find out about this questionnaire?,NewsletterComment
192,F,F07,surveySource_SQ005,surveySource,SQ005,categorical,0,0,0,1,0,How did you find out about this questionnaire?,A friend
193,F,F08,surveySource_SQ005comment,surveySource,SQ005comment,qualitative,,,,,,How did you find out about this questionnaire?,A friendComment
194,F,F09,surveySource_other,surveySource,other,qualitative,,,,,,How did you find out about this questionnaire?,Other
195,F,F10,surveySource_othercomment,surveySource,othercomment,qualitative,,,,,,How did you find out about this questionnaire?,Other comment
196,F,F11,age,age,,categorical,0,0,0,1,0,What is your age?,""
197,F,F12,gender,gender,,categorical,0,0,0,1,0,What gender do you identify with?,""
198,F,F13,gender_other,gender,other,qualitative,,,,,,What gender do you identify with?,Other
199,F,F14,autochtonous,autochtonous,,categorical,0,0,0,1,0,"Do you identify as First Nation, Métis or Inuit?",""
200,F,F15,woodlotMoney,woodlotMoney,,categorical,1,0,0,0,0,"On average, how much of your annual family income comes from your woodlots?",""
201,F,F16,education,education,,categorical,0,0,0,1,0,What is the highest level of education you have completed?,""
202,F,F17,education_other,education,other,qualitative,,,,,,What is the highest level of education you have completed?,Other
203,F,F18,professionalForester,professionalForester,,categorical,0,0,0,1,0,"Do you have a degree related to forestry (forester, technician, engineer, etc)?",""
204,F,F19,job,job,,categorical,0,0,0,1,0,Which professional category best describes you?,""
205,F,F20,job_other,job,other,qualitative,,,,,,Which professional category best describes you?,Other
206,F,F21,woodlotVisit,woodlotVisit,,categorical,1,0,0,0,0,How often do you visit at least one of your woodlots?,""
207,F,F22,woodlotVisit_other,woodlotVisit,other,qualitative,,,,,,How often do you visit at least one of your woodlots?,Other
208,F,F23,commentsFinal,commentsFinal,,qualitative,,,,,,"",""
